case_number,incident_datetime,incident_type,FCR,address_1,city,state,zip,created_at,updated_at,hour_of_day,day_of_week,Incident Block Location
C18047898,11/02/2018 08:30:00 PM,Other,377,16400 Block 179TH PL NE,WOODINVILLE,WA,98072,01/17/2019 07:20:00 PM,02/21/2019 12:59:00 AM,20,Friday,POINT (-122.10051200000001 47.746199)
C18045379,09/19/2018 08:57:00 PM,Other,165,12000 Block 70TH AVE S,SEATTLE,WA,98178,01/17/2019 07:15:00 PM,02/21/2019 12:49:00 AM,20,Wednesday,POINT (-122.24632900000002 47.495008)
C19033665,09/02/2019 08:22:00 PM,Other,511,500 Block S ROYAL BROUGHAM WAY,SEATTLE,WA,98104,09/04/2019 03:45:00 PM,09/04/2019 05:36:00 PM,20,Monday,POINT (-122.327553 47.592394)
C19013317,04/07/2019 01:49:00 PM,Fire,452,4300 Block 201ST AVE NE,SAMMAMISH,WA,98074,05/03/2019 04:08:00 PM,05/03/2019 08:14:00 PM,13,Sunday,POINT (-122.07189800000002 47.647567)
C18053061,12/10/2018 03:40:00 PM,Other,511,1 Block AVE S & S WALLACE ST,SEATTLE,WA,98178,02/21/2019 01:33:00 AM,02/21/2019 01:34:00 AM,15,Monday,
C18050644,11/23/2018 08:05:00 AM,Arson,450,10000 Block 16TH AVE SW,SEATTLE,WA,98146,02/21/2019 01:33:00 AM,02/21/2019 01:34:00 AM,8,Friday,POINT (-122.355129 47.51372)
C19045990,12/02/2019 02:30:00 PM,Death,222,21800 Block SE PETROVITSKY RD,MAPLE VALLEY,WA,98038,12/03/2019 09:45:00 PM,12/18/2019 12:37:00 AM,14,Monday,POINT (-122.050613 47.406417000000005)
C19032563,08/25/2019 05:11:00 PM,Assault,112,42100 Block 264TH AVE SE,ENUMCLAW,WA,98022,08/26/2019 10:06:00 PM,08/27/2019 12:10:00 AM,17,Sunday,POINT (-121.98969700000002 47.223136)
C19037490,09/29/2019 06:00:00 PM,Breaking & Entering,271,13300 Block AVONDALE RD NE,WOODINVILLE,WA,98077,10/02/2019 05:36:00 PM,10/02/2019 07:27:00 PM,18,Sunday,POINT (-122.08747899999999 47.71873800000001)
C18053450,12/12/2018 08:44:00 PM,Drugs,203,13200 Block 423RD AVE SE,NORTH BEND,WA,98045,02/21/2019 01:34:00 AM,02/21/2019 01:35:00 AM,20,Wednesday,POINT (-121.776573 47.481128)
C19019864,05/25/2019 05:00:00 AM,Theft,284,37500 Block SE NORTH BEND WAY,SNOQUALMIE,WA,98065,05/25/2019 06:44:00 PM,05/28/2019 11:36:00 PM,5,Saturday,POINT (-121.840364 47.516794)
C18052055,11/29/2018 01:45:00 PM,Other,503,15500 Block SE 10TH ST,BELLEVUE,WA,98007,01/17/2019 07:34:00 PM,02/21/2019 01:29:00 AM,13,Thursday,POINT (-122.13241 47.60131)
C19026795,07/15/2019 07:54:00 AM,Traffic,424,16800 Block SE RENTON ISSAQUAH RD,RENTON,WA,98059,07/15/2019 08:26:00 PM,07/15/2019 10:07:00 PM,7,Monday,POINT (-122.115962 47.498586)
C18031892,07/18/2018 10:28:00 AM,Robbery,125,9600 Block 28TH AVE SW,SEATTLE,WA,98126,10/24/2019 06:06:00 PM,10/24/2019 07:56:00 PM,10,Wednesday,POINT (-122.368637 47.517422)
C19027783,07/22/2019 10:15:00 AM,Vehicle Recovery,311,9600 Block 28TH AVE SW,SEATTLE,WA,98126,07/23/2019 12:18:00 PM,07/23/2019 05:37:00 PM,10,Monday,POINT (-122.368637 47.517422)
C19020614,05/30/2019 06:35:00 PM,Other,371,1 Block AVE & JAMES ST,SEATTLE,WA,98104,05/31/2019 12:45:00 PM,05/31/2019 05:09:00 PM,18,Thursday,
C19021946,06/09/2019 05:37:00 PM,Assault,112,18000 Block VASHON HWY SW,VASHON,WA,98070,06/10/2019 03:46:00 AM,06/10/2019 05:08:00 PM,17,Sunday,POINT (-122.460493 47.443764)
C19033276,08/30/2019 02:34:00 PM,Missing Person,563,SE TINKHAM RD,NORTH BEND,WA,98045,09/03/2019 06:45:00 PM,09/03/2019 08:36:00 PM,14,Friday,
