case_number,incident_datetime,incident_type,FCR,address_1,city,state,zip,created_at,updated_at,hour_of_day,day_of_week,Incident Block Location
C19046940,12/09/2019 09:02:00 AM,Other,503,1 Block AVE & YESLER WAY,SEATTLE,WA,98104,12/12/2019 06:19:00 PM,12/12/2019 08:07:00 PM,9,Monday,
C19046039,12/02/2019 06:01:00 PM,Other,162,19700 Block 635TH PL NE,BARING,WA,98224,12/05/2019 05:15:00 PM,12/05/2019 07:06:00 PM,18,Monday,
C19026684,07/14/2019 01:29:00 AM,Vehicle Recovery,311,1 Block PL S & DES MOINES MEMORIAL DR S,BURIEN,WA,98168,07/15/2019 05:45:00 AM,07/15/2019 06:09:00 PM,1,Sunday,
C19043968,11/16/2019 10:07:00 PM,Traffic,404,RAINIER AVE N & RENTON AVE S,SKYWAY,WA,98178,11/19/2019 04:30:00 PM,11/19/2019 06:16:00 PM,22,Saturday,
C19042199,11/04/2019 07:18:00 AM,Property Crime,313,1 Block PL S & DES MOINES MEMORIAL DR S,BURIEN,WA,98168,11/05/2019 04:35:00 PM,11/05/2019 06:26:00 PM,7,Monday,
C19042093,11/03/2019 10:13:00 AM,Other,162,18200 Block 190TH PL NE,WOODINVILLE,WA,98077,11/04/2019 04:55:00 PM,11/04/2019 06:48:00 PM,10,Sunday,
C19041141,10/27/2019 08:00:00 AM,Assault,112,UNKNOWN,VASHON,WA,98070,10/28/2019 04:05:00 PM,10/28/2019 05:57:00 PM,8,Sunday,
C19038087,10/04/2019 01:35:00 PM,Assault,112,1 Block AVE S & S JACKSON ST,SEATTLE,WA,98104,10/07/2019 07:25:00 PM,10/07/2019 07:37:00 PM,13,Friday,
C19036914,09/25/2019 12:00:00 AM,Other,377,26800 Block 94TH PL S,KENT,WA,98030,09/26/2019 08:06:00 PM,09/26/2019 09:57:00 PM,0,Wednesday,POINT (-122.215399 47.36124)
C19038992,10/11/2019 09:15:00 AM,Property Crime,182,16600 Block ISSAQUAH,ISSAQUAH,WA,,10/14/2019 05:15:00 PM,10/14/2019 07:07:00 PM,9,Friday,
C19003278,01/23/2019 07:30:00 PM,Assault,101,1 Block AVE S & S JACKSON ST,SEATTLE,WA,98104,01/30/2019 05:48:00 PM,02/21/2019 02:31:00 AM,19,Wednesday,
C19035892,09/18/2019 02:18:00 PM,Other,234,26500 Block 320TH AVE SE,ENUMCLAW,WA,98022,12/12/2019 07:36:00 PM,12/12/2019 09:26:00 PM,14,Wednesday,
C19034987,09/11/2019 06:30:00 PM,Death,222,4200 Block TOKUL RD SE,SNOQUALMIE,WA,98065,09/12/2019 10:19:00 PM,09/20/2019 06:05:00 PM,18,Wednesday,
C19033041,08/28/2019 06:40:00 PM,Drugs,200,1 Block AVE & YESLER WAY,SEATTLE,WA,98104,09/12/2019 05:36:00 PM,09/12/2019 07:27:00 PM,18,Wednesday,
C19032341,08/23/2019 10:40:00 AM,Traffic,403,WAY,ENUMCLAW,WA,98022,09/05/2019 09:25:00 PM,09/05/2019 11:17:00 PM,10,Friday,
C19031843,08/20/2019 01:35:00 PM,Other,510,NORTH END FERRY DOCK,VASHON,WA,98070,08/21/2019 12:36:00 PM,08/21/2019 05:18:00 PM,13,Tuesday,
C19032146,08/12/2019 12:00:00 AM,Other,161,16200 Block 140TH PL NE,WOODINVILLE,WA,98072,08/23/2019 12:35:00 PM,08/23/2019 08:57:00 PM,0,Monday,
C19038661,10/08/2019 05:00:00 AM,Theft of Vehicle,300,17800 Block CEDAR GROVE RD SE,MAPLE VALLEY,WA,98038,10/10/2019 04:26:00 PM,10/15/2019 09:50:00 PM,5,Tuesday,
C19030432,08/05/2019 12:00:00 PM,Other,511,10600 Block 16TH AVE SW,SEATTLE,WA,98146,08/10/2019 03:16:00 AM,08/13/2019 09:07:00 PM,12,Monday,POINT (-122.35510500000001 47.508569)
C19029428,08/02/2019 02:27:00 PM,Other,371,1 Block AVE & VIRGINIA ST,SEATTLE,WA,98101,08/07/2019 08:16:00 PM,08/12/2019 10:50:00 PM,14,Friday,
C19028986,07/30/2019 11:57:00 AM,Other,324,NF,SKYKOMISH,WA,,07/31/2019 08:26:00 PM,07/31/2019 10:37:00 PM,11,Tuesday,
C19028732,07/28/2019 08:12:00 PM,Traffic,425,100 Block AVE SE & SE 232ND ST,MAPLE VALLEY,WA,98038,07/29/2019 10:15:00 PM,07/30/2019 05:56:00 PM,20,Sunday,
C19028391,07/25/2019 10:10:00 PM,Other,371,14200 Block REDMOND,REDMOND,WA,,07/27/2019 06:55:00 AM,07/29/2019 08:16:00 PM,22,Thursday,
C18043845,09/11/2018 03:22:00 AM,Other,511,39500 Block W NORTH BEND WAY,NORTH BEND,WA,98045,02/21/2019 12:28:00 AM,02/21/2019 12:29:00 AM,3,Tuesday,
C19027532,07/20/2019 03:43:00 AM,Traffic,404,SE 44TH PL & PRESTON FALL CITY RD SE,FALL CITY,WA,98024,07/21/2019 11:15:00 AM,07/22/2019 05:48:00 PM,3,Saturday,
C19026694,07/14/2019 03:24:00 AM,Other,510,1 Block AVE S & RENTON AVE S,BRYN MAWR-SKYWAY,WA,98178,07/15/2019 05:35:00 AM,07/23/2019 06:47:00 PM,3,Sunday,
C19026588,07/13/2019 07:54:00 AM,Property Crime,332,27700 Block 48TH AVE S,SEATAC,WA,98188,07/15/2019 12:35:00 PM,07/15/2019 06:37:00 PM,7,Saturday,
C19027263,07/09/2019 08:15:00 PM,Disorder,612,EASTGATE PARK AND RIDE,BELLEVUE,WA,98007,07/22/2019 05:06:00 PM,07/22/2019 07:47:00 PM,20,Tuesday,
C19027295,07/09/2019 12:00:00 AM,Other,503,3800 Block 237 PL SW,BRIER,WA,98036,07/19/2019 06:07:00 PM,07/26/2019 07:36:00 PM,0,Tuesday,
C19025716,07/06/2019 04:00:00 PM,Theft,330,20400 Block NE 133RD ST,WOODINVILLE,WA,98077,07/07/2019 07:05:00 PM,07/09/2019 06:16:00 PM,16,Saturday,POINT (-122.06663300000001 47.718431)
C19025124,07/02/2019 03:32:00 PM,Other,510,1 Block AVE S & S JACKSON ST,SEATTLE,WA,98104,07/03/2019 02:55:00 AM,07/03/2019 05:16:00 PM,15,Tuesday,
C19024916,07/01/2019 08:23:00 AM,Theft,284,27700 Block 55TH AVE S,AUBURN,WA,98001,07/01/2019 05:25:00 PM,07/01/2019 07:27:00 PM,8,Monday,
C19024812,06/29/2019 06:00:00 PM,Theft,287,1 Block AVE S & RENTON AVE S,BRYN MAWR-SKYWAY,WA,98178,07/01/2019 12:45:00 PM,07/01/2019 05:26:00 PM,18,Saturday,
C19023527,06/20/2019 02:30:00 PM,Other,511,1 Block AVE S & S MAIN ST,SEATTLE,WA,98104,06/27/2019 02:56:00 AM,06/27/2019 06:27:00 PM,14,Thursday,
C19023407,06/19/2019 06:15:00 PM,Other,236,3100 Block STUCK RIVER DR SE,AUBURN,WA,98092,06/20/2019 04:16:00 PM,06/20/2019 06:17:00 PM,18,Wednesday,
C19023269,06/18/2019 07:48:00 PM,Other,236,12800 Block 60TH LN S,SEATTLE,WA,98178,06/19/2019 09:26:00 PM,06/20/2019 12:27:00 AM,19,Tuesday,POINT (-122.259016 47.488075)
C18043144,10/02/2018 02:49:00 PM,Other,511,1 Block AVE & BELL ST,SEATTLE,WA,98121,02/21/2019 12:25:00 AM,02/21/2019 12:26:00 AM,14,Tuesday,
C19020878,06/01/2019 05:22:00 PM,Other,371,1 Block AVE & UNION ST,SEATTLE,WA,98101,06/03/2019 03:25:00 AM,06/03/2019 06:38:00 PM,17,Saturday,
C19020408,05/29/2019 12:28:00 PM,Other,503,SB IDS,SEATTLE,WA,,06/03/2019 05:46:00 PM,06/03/2019 07:37:00 PM,12,Wednesday,
C19019382,05/21/2019 05:09:00 PM,Other,236,34400 Block 46TH AVE S,KENT,WA,98001,05/24/2019 05:00:00 AM,05/25/2019 03:14:00 AM,17,Tuesday,
C19018907,05/17/2019 09:19:00 PM,Traffic,404,9800 Block 15TH AVE SW,SEATTLE,WA,98146,05/23/2019 11:49:00 AM,05/24/2019 09:38:00 AM,21,Friday,
C19018696,05/16/2019 03:21:00 PM,Other,511,1 Block AVE & VIRGINIA ST,SEATTLE,WA,98101,05/18/2019 01:13:00 PM,05/19/2019 03:17:00 AM,15,Thursday,
C19017311,05/06/2019 07:14:00 PM,Other,371,16900 Block 144TH AVE SE,RENTON,WA,98058,05/08/2019 05:06:00 AM,05/08/2019 08:43:00 PM,19,Monday,
C19016800,05/02/2019 01:40:00 AM,Other,510,1 Block AVE & VIRGINIA ST,SEATTLE,WA,98101,05/03/2019 07:11:00 PM,05/03/2019 09:36:00 PM,1,Thursday,
C19016458,04/30/2019 03:09:00 PM,Other,511,1 Block AVE S & S JACKSON ST,SEATTLE,WA,98104,05/03/2019 07:32:00 PM,05/03/2019 11:53:00 PM,15,Tuesday,
C19015338,04/22/2019 09:18:00 AM,Other,371,3200 Block S 372ND ST,AUBURN,WA,98001,04/24/2019 03:20:00 PM,04/24/2019 09:27:00 PM,9,Monday,
C19039447,10/14/2019 08:39:00 PM,Theft from Vehicle,312,37200 Block 37TH AVE S,KING COUNTY,WA,98001,10/15/2019 03:16:00 PM,10/15/2019 05:08:00 PM,20,Monday,
C18035491,08/03/2018 04:00:00 PM,Property Crime,190,UNKNOWN,UNKNOWN,UNK,68849,01/11/2019 12:02:00 AM,02/20/2019 11:40:00 PM,16,Friday,
C19013884,04/11/2019 11:42:00 AM,Other,504,1 Block ST SE & V ST SE,AUBURN,WA,98002,04/12/2019 09:18:00 PM,04/12/2019 11:35:00 PM,11,Thursday,
C19013702,04/10/2019 09:41:00 AM,Other,229,19800 Block 183RD PL NE,WOODINVILLE,WA,98077,04/11/2019 05:21:00 PM,04/12/2019 08:58:00 PM,9,Wednesday,
C19012597,04/02/2019 12:00:00 AM,Other,511,1 Block AVE S & S JACKSON ST,SEATTLE,WA,98104,04/05/2019 03:26:00 AM,04/06/2019 12:31:00 AM,0,Tuesday,
C19012398,04/01/2019 02:00:00 PM,Other,511,1 Block AVE & PIKE ST,SEATTLE,WA,98101,04/02/2019 05:25:00 AM,04/02/2019 11:45:00 PM,14,Monday,
C19010908,03/21/2019 12:00:00 AM,Theft,284,9800 Block 16TH AVE SW,SEATTLE,WA,98146,03/23/2019 12:18:00 AM,03/25/2019 09:37:00 PM,0,Thursday,
C19006262,02/16/2019 07:35:00 PM,Other,232,SE 304TH ST & SR 18 EB,AUBURN,WA,,02/18/2019 10:24:00 PM,02/21/2019 06:25:00 PM,19,Saturday,
C19005702,02/05/2019 12:00:00 AM,Other,503,8800 Block 9 AV SE,TACOMA,WA,98445,02/14/2019 07:04:00 PM,02/22/2019 05:56:00 PM,0,Tuesday,
C19004210,01/30/2019 02:48:00 PM,Other,511,1 Block AVE S & S JACKSON ST,SEATTLE,WA,98104,01/31/2019 05:54:00 PM,02/21/2019 02:32:00 AM,14,Wednesday,
C19003804,01/28/2019 01:40:00 AM,Other,510,1 Block AVE & COLUMBIA ST,SEATTLE,WA,98104,01/30/2019 05:50:00 PM,02/21/2019 02:32:00 AM,1,Monday,
C19002926,01/21/2019 04:04:00 PM,Theft,284,9800 Block 16TH AVE SW,SEATTLE,WA,98146,01/30/2019 05:48:00 PM,02/21/2019 02:31:00 AM,16,Monday,
C19002752,01/20/2019 12:25:00 AM,Other,504,E3 BUSWAY & S HOLGATE ST,SEATTLE,WA,98134,05/13/2019 05:16:00 PM,05/16/2019 01:25:00 AM,0,Sunday,
C19002231,01/16/2019 03:33:00 PM,Other,511,1 Block AVE & JEFFERSON ST,SEATTLE,WA,98104,01/17/2019 04:54:00 AM,02/21/2019 02:10:00 AM,15,Wednesday,
C19002039,01/15/2019 10:50:00 AM,Drugs,200,23400 Block SE TAHOMA WAY,MAPLE VALLEY,WA,98038,08/21/2019 03:07:00 PM,08/21/2019 04:57:00 PM,10,Tuesday,
C19001709,01/13/2019 12:36:00 AM,Other,422,I405 NB & SE 8TH ST,BELLEVUE,WA,98006,01/13/2019 11:34:00 AM,02/21/2019 02:07:00 AM,0,Sunday,
C19001146,01/08/2019 09:30:00 PM,Robbery,125,9400 Block WAY,KENT,WA,,01/16/2019 04:24:00 AM,04/12/2019 03:55:00 AM,21,Tuesday,
C18055799,12/30/2018 05:49:00 PM,Disorder,600,1 Block AVE & PINE ST,SEATTLE,WA,98101,01/17/2019 07:50:00 PM,02/21/2019 01:53:00 AM,17,Sunday,
C18055528,12/28/2018 10:30:00 AM,Theft from Vehicle,288,CARNATION,CARNATION,WA,98014,01/15/2019 06:44:00 PM,02/21/2019 02:08:00 AM,10,Friday,
C18054083,12/17/2018 01:31:00 PM,Other,377,SE 408TH & HWY 164,AUBURN,WA,98092,01/17/2019 07:42:00 PM,02/21/2019 01:40:00 AM,13,Monday,
C18053317,12/11/2018 10:00:00 PM,Theft from Vehicle,288,16900 Block 165TH PL SE,RENTON,WA,98058,01/17/2019 07:44:00 PM,06/07/2019 05:07:00 PM,22,Tuesday,
C18053230,12/11/2018 01:44:00 PM,Property Crime,327,4100 Block S 382ND ST,AUBURN,WA,98001,02/28/2019 04:04:00 PM,03/09/2019 12:37:00 AM,13,Tuesday,
C18053271,12/10/2018 01:20:00 PM,Theft,284,29300 Block 204TH PL SE,KENT,WA,98042,02/21/2019 01:34:00 AM,02/21/2019 01:35:00 AM,13,Monday,
C18047848,10/20/2018 12:00:00 AM,Theft of Vehicle,300,4300 Block PRESTON,FALL CITY,WA,98024,01/17/2019 07:24:00 PM,02/21/2019 01:08:00 AM,0,Saturday,
C19006749,12/01/2018 10:00:00 AM,Property Crime,189,13200 Block SE 161ST PL,RENTON,WA,98058,02/21/2019 06:54:00 PM,03/12/2019 10:46:00 PM,10,Saturday,
C18051008,11/26/2018 09:45:00 AM,Assault,112,20100 Block ORILLIA RD S,KENT,WA,98032,01/17/2019 07:30:00 PM,02/21/2019 01:20:00 AM,9,Monday,
C18050637,11/23/2018 05:40:00 AM,Traffic,418,I,EVERETT,WA,,01/17/2019 07:31:00 PM,02/21/2019 01:22:00 AM,5,Friday,
C18050285,11/18/2018 03:30:00 AM,Theft,284,25600 Block SE SUMMIT,RAVENSDALE,WA,98051,01/17/2019 07:28:00 PM,02/21/2019 01:16:00 AM,3,Sunday,
C18049612,11/15/2018 10:06:00 AM,Property Crime,332,15900 Block CEDAR FALLS RD SE,NORTH BEND,WA,98045,02/21/2019 01:11:00 AM,02/21/2019 01:12:00 AM,10,Thursday,
C18049637,11/12/2018 12:21:00 PM,Other,503,15300 Block SE 307TH ST,KENT,WA,98042,01/17/2019 07:29:00 PM,02/21/2019 01:19:00 AM,12,Monday,
C18049077,11/10/2018 10:00:00 PM,Vehicle Recovery,309,25300 Block 186TH AVE SE,KENT,WA,98042,01/17/2019 07:25:00 PM,02/21/2019 01:10:00 AM,22,Saturday,
C18048955,11/10/2018 07:09:00 AM,Death,222,9800 Block 124TH AVE SE,RENTON,WA,98056,01/17/2019 07:24:00 PM,02/21/2019 01:09:00 AM,7,Saturday,POINT (-122.174716 47.514153)
C18049940,11/17/2018 07:07:00 PM,Other,511,2800 Block STUCK RIVER DR SE,AUBURN,WA,98092,01/17/2019 07:27:00 PM,02/21/2019 01:13:00 AM,19,Saturday,
C18048414,11/06/2018 06:48:00 PM,Property Crime,313,12400 Block ISSAQUAH,ISSAQUAH,WA,,01/17/2019 07:22:00 PM,02/21/2019 01:04:00 AM,18,Tuesday,
C18048216,11/05/2018 06:13:00 PM,Other,162,36500 Block 249TH AVE SE,ENUMCLAW,WA,98022,02/21/2019 01:00:00 AM,02/21/2019 01:01:00 AM,18,Monday,POINT (-122.01385300000001 47.273103)
C18047299,10/30/2018 03:20:00 PM,Other,503,29800 Block 47TH PL S,AUBURN,WA,98001,01/17/2019 07:17:00 PM,02/21/2019 12:55:00 AM,15,Tuesday,POINT (-122.27560699999998 47.33393300000001)
C18047063,10/26/2018 09:47:00 AM,Breaking & Entering,274,14800 Block 163RD CT NE,WOODINVILLE,WA,98072,02/21/2019 01:55:00 AM,02/21/2019 01:56:00 AM,9,Friday,
C18048367,10/24/2018 07:30:00 AM,Other,323,27300 Block COVINGTON WAY SE,COVINGTON,WA,98042,02/21/2019 01:23:00 AM,02/21/2019 01:24:00 AM,7,Wednesday,
C18044198,10/09/2018 10:43:00 AM,Theft from Vehicle,288,26400 Block SE ISSAQUAH,ISSAQUAH,WA,,01/17/2019 07:24:00 PM,02/21/2019 01:08:00 AM,10,Tuesday,
C18044052,10/08/2018 03:17:00 PM,Property Crime,327,1 Block AVE & PIKE ST,SEATTLE,WA,98101,02/21/2019 12:30:00 AM,02/21/2019 12:31:00 AM,15,Monday,
C18043515,10/04/2018 05:12:00 PM,Drugs,204,E3 BUSWAY & S HOLGATE ST,SEATTLE,WA,98134,02/21/2019 12:28:00 AM,02/21/2019 12:29:00 AM,17,Thursday,
C18044316,10/02/2018 01:18:00 PM,Other,503,12400 Block ADMIRILTY WAY,EVERETT,WA,98204,01/17/2019 07:18:00 PM,02/21/2019 12:57:00 AM,13,Tuesday,
C18042654,09/29/2018 11:00:00 AM,Theft from Vehicle,288,3600 Block,SAMMAMISH,WA,98074,01/17/2019 07:29:00 PM,02/21/2019 01:19:00 AM,11,Saturday,
C18043739,09/22/2018 10:35:00 AM,Breaking & Entering,274,17700 Block CEDAR GROVE RD SE,MAPLE VALLEY,WA,98038,02/21/2019 12:28:00 AM,02/21/2019 12:29:00 AM,10,Saturday,
C18039033,09/04/2018 06:05:00 PM,Drugs,204,1 Block AVE S & S KING ST,SEATTLE,WA,98144,01/17/2019 06:47:00 PM,02/21/2019 12:03:00 AM,18,Tuesday,
C18038601,09/01/2018 11:20:00 AM,Traffic,416,11300 Block ISSAQUAH,ISSAQUAH,WA,,01/17/2019 06:49:00 PM,02/21/2019 12:08:00 AM,11,Saturday,
C18037888,08/27/2018 01:09:00 PM,Drugs,204,1 Block AVE & PINE ST,SEATTLE,WA,98101,01/17/2019 06:41:00 PM,02/20/2019 11:53:00 PM,13,Monday,
C18037314,08/23/2018 09:11:00 AM,Other,236,16500 Block 140TH PL NE,WOODINVILLE,WA,98072,01/17/2019 07:15:00 PM,03/07/2019 06:17:00 PM,9,Thursday,
C19042700,11/07/2019 12:09:00 PM,Other,429,28100 Block BLACK DIAMOND RAVENSDALE RD SE,RAVENSDALE,WA,98051,11/12/2019 11:26:00 PM,11/13/2019 01:17:00 AM,12,Thursday,
C18036006,08/14/2018 12:38:00 PM,Other,510,KENT,KENT,WA,,01/11/2019 12:02:00 AM,02/20/2019 11:40:00 PM,12,Tuesday,
C18035747,08/12/2018 01:13:00 PM,Other,511,ISSAQUAH,ISSAQUAH,WA,,01/10/2019 11:59:00 PM,02/20/2019 11:38:00 PM,13,Sunday,
C18036492,08/02/2018 10:06:00 AM,Other,504,1 Block S WASHINGTON ST,SEATTLE,WA,98104,01/17/2019 06:54:00 PM,02/21/2019 12:17:00 AM,10,Thursday,
C19016193,08/14/2017 11:31:00 AM,Other Sexual Offense,143,31700 Block W EUGENE ST,CARNATION,WA,98014,04/29/2019 11:06:00 PM,05/03/2019 07:50:00 PM,11,Monday,
C18053545,12/13/2018 01:33:00 PM,Assault,101,1 Block AVE SW & SW 325TH PL,FEDERAL WAY,WA,98023,03/26/2019 06:45:00 PM,03/27/2019 12:56:00 AM,13,Thursday,
C18038829,09/03/2018 03:58:00 PM,Assault,112,1 Block AVE & BELL ST,SEATTLE,WA,98121,01/17/2019 06:47:00 PM,02/21/2019 12:03:00 AM,15,Monday,
C18036741,08/17/2018 07:00:00 PM,Arson,450,SE ISSAQUAH,ISSAQUAH,WA,,01/17/2019 06:42:00 PM,02/20/2019 11:54:00 PM,19,Friday,
C19030156,08/07/2019 09:30:00 PM,Breaking & Entering,271,16200 Block 140TH PL NE,WOODINVILLE,WA,98072,08/09/2019 07:35:00 AM,08/14/2019 11:56:00 PM,21,Wednesday,
C18044634,10/01/2018 07:00:00 AM,Traffic,427,10200 Block RENTON,ISSAQUAH,WA,98027,01/17/2019 07:10:00 PM,02/21/2019 12:36:00 AM,7,Monday,
C18031856,07/18/2018 04:59:00 AM,Drugs,200,RAINIER AVE N & RENTON AVE S,RENTON,WA,98057,01/10/2019 11:42:00 PM,02/20/2019 11:25:00 PM,4,Wednesday,
C18032874,07/01/2018 02:12:00 PM,Other,503,KENT,KENT,WA,,01/17/2019 06:54:00 PM,02/21/2019 12:17:00 AM,14,Sunday,
C19039837,09/01/2017 12:00:00 AM,Other,169,27900 Block 36TH AVE S,AUBURN,WA,98001,10/29/2019 07:25:00 PM,10/29/2019 09:18:00 PM,0,Friday,
C19025530,07/01/2011 04:49:00 PM,Other Sexual Offense,140,UNKNOWN,LAS VEGAS,NV,89103,07/08/2019 03:05:00 PM,07/18/2019 06:26:00 PM,16,Friday,
C18052498,12/06/2018 10:42:00 AM,Vehicle Recovery,311,37600 Block 236TH AVE SE,ENUMCLAW,WA,98022,02/21/2019 01:28:00 AM,02/21/2019 01:29:00 AM,10,Thursday,POINT (-122.027813 47.263037)
C19039161,10/12/2019 03:00:00 PM,Theft of Vehicle,300,8100 Block 304TH AVE SE,ISSAQUAH,WA,98027,10/14/2019 04:15:00 PM,10/14/2019 06:13:00 PM,15,Saturday,POINT (-121.93505400000001 47.527554)
C19016569,04/30/2019 07:00:00 PM,Theft,289,28400 Block 216TH AVE SE,KENT,WA,98042,05/01/2019 08:32:00 PM,06/12/2019 10:27:00 PM,19,Tuesday,POINT (-122.053646 47.346809)
C19044788,11/22/2019 10:09:00 AM,Other,169,10000 Block 17TH PL S,SEATTLE,WA,98168,11/27/2019 07:06:00 PM,11/27/2019 08:56:00 PM,10,Friday,POINT (-122.31006200000002 47.514376)
C18054511,12/13/2018 10:00:00 PM,Property Crime,336,10700 Block CEDAR PARK CRES NE,REDMOND,WA,98053,01/17/2019 07:46:00 PM,02/21/2019 01:45:00 AM,22,Thursday,
C18044302,10/10/2018 08:32:00 AM,Robbery,132,13000 Block MARTIN LUTHER KING JR WAY S,SEATTLE,WA,98178,01/17/2019 07:18:00 PM,02/21/2019 12:56:00 AM,8,Wednesday,POINT (-122.25621100000001 47.485841)
C18032185,07/20/2018 09:55:00 AM,Assault,111,500 Block S LANDER ST,SEATTLE,WA,98134,01/10/2019 11:37:00 PM,02/20/2019 11:21:00 PM,9,Friday,POINT (-122.326955 47.579812)
C18038246,08/29/2018 12:59:00 PM,Other,325,1 Block AVE S & S HOLGATE ST,SEATTLE,WA,98134,01/17/2019 06:44:00 PM,02/20/2019 11:58:00 PM,12,Wednesday,
C18045104,10/12/2018 01:00:00 AM,Theft from Vehicle,288,6900 Block 232ND AVE NE,REDMOND,WA,98053,01/17/2019 07:24:00 PM,02/21/2019 01:08:00 AM,1,Friday,POINT (-122.03017999999999 47.666763)
C19043769,11/15/2019 09:40:00 AM,Drugs,200,10000 Block MYERS WAY S,SEATTLE,WA,98168,11/18/2019 11:36:00 PM,11/19/2019 01:26:00 AM,9,Friday,POINT (-122.33023500000002 47.513864)
C19047174,12/10/2019 04:31:00 PM,Vehicle Recovery,311,10200 Block 12TH AVE S,BURIEN,WA,98168,12/12/2019 06:48:00 PM,12/12/2019 08:36:00 PM,16,Tuesday,POINT (-122.31783300000001 47.512074)
C19008677,03/05/2019 03:00:00 PM,Theft,285,10000 Block DES MOINES MEMORIAL DR S,BURIEN,WA,98168,03/06/2019 10:17:00 PM,03/07/2019 07:37:00 PM,15,Tuesday,POINT (-122.312194 47.513786)
C18045788,10/16/2018 12:52:00 PM,Theft from Vehicle,288,18200 Block 153RD AVE SE,RENTON,WA,98058,02/21/2019 12:41:00 AM,05/09/2019 12:30:00 AM,12,Tuesday,POINT (-122.136864 47.440142)
C18046358,10/24/2018 11:06:00 AM,Other,503,32800 Block SE 47TH PL,FALL CITY,WA,98024,02/21/2019 12:53:00 AM,02/21/2019 12:55:00 AM,11,Wednesday,POINT (-121.903551 47.55885)
C19027994,07/23/2019 03:25:00 PM,Property Crime,182,24500 Block SE 224TH ST,MAPLE VALLEY,WA,98038,07/24/2019 10:46:00 PM,07/25/2019 12:37:00 AM,15,Tuesday,POINT (-122.01423399999999 47.401073)
C19026454,07/12/2019 01:00:00 AM,Theft of Vehicle,300,14300 Block SE 171ST WAY,RENTON,WA,98058,07/12/2019 03:45:00 PM,07/15/2019 08:07:00 PM,1,Friday,POINT (-122.14923599999999 47.445835)
C19020898,06/01/2019 09:05:00 PM,Drugs,204,SW ROXBURY ST & 16TH AVE SW,WHITE CENTER,WA,98106,06/18/2019 09:26:00 PM,06/19/2019 09:57:00 PM,21,Saturday,POINT (-122.35517100000001 47.517413)
C19027068,07/16/2019 06:12:00 PM,Other,162,20000 Block SE 232ND ST,MAPLE VALLEY,WA,98038,07/18/2019 11:05:00 PM,07/19/2019 05:57:00 PM,18,Tuesday,POINT (-122.07396200000001 47.394218)
C18044014,08/03/2018 10:00:00 PM,Other Sexual Offense,144,13900 Block SE 92ND ST,NEWCASTLE,WA,98059,07/24/2019 08:25:00 PM,07/26/2019 08:16:00 PM,22,Friday,POINT (-122.15484500000001 47.519338)
C18032832,06/27/2018 03:08:00 PM,Community Policing,555,7800 Block S 114TH ST,SEATTLE,WA,98178,01/10/2019 11:42:00 PM,02/20/2019 11:25:00 PM,15,Wednesday,POINT (-122.23432800000002 47.501356)
C18049629,11/15/2018 12:42:00 PM,Property Crime,332,2800 Block RAINIER AVE S,SEATTLE,WA,98144,01/17/2019 07:27:00 PM,02/21/2019 01:13:00 AM,12,Thursday,POINT (-122.296448 47.576114)
C19011892,03/28/2019 03:46:00 PM,Other,234,12700 Block 1ST AVE S,SEATTLE,WA,98168,03/29/2019 11:06:00 PM,04/03/2019 02:09:00 AM,15,Thursday,POINT (-122.333823 47.489439)
C19005160,02/06/2019 05:00:00 PM,Theft of Vehicle,300,23500 Block SE 36TH CT,SAMMAMISH,WA,98075,02/28/2019 09:46:00 PM,06/11/2019 06:37:00 PM,17,Wednesday,
C19001462,01/10/2019 06:30:00 PM,Theft of Vehicle,300,31600 Block NE 106TH ST,CARNATION,WA,98014,01/14/2019 04:04:00 PM,07/11/2019 09:07:00 PM,18,Thursday,POINT (-121.91741700000001 47.692257)
C18039920,09/10/2018 11:30:00 PM,Traffic,404,SE 368TH PL & AUBURN,AUBURN,WA,98092,01/17/2019 06:49:00 PM,02/21/2019 12:08:00 AM,23,Monday,
C19039074,10/11/2019 06:14:00 PM,Assault,112,16200 Block 5TH AVE NE,SHORELINE,WA,98155,10/14/2019 05:05:00 PM,10/14/2019 06:57:00 PM,18,Friday,POINT (-122.323851 47.746217)
C19018404,05/14/2019 03:45:00 PM,Drugs,204,1 Block AVE & YESLER WAY,SEATTLE,WA,98104,05/15/2019 02:38:00 AM,05/15/2019 05:48:00 PM,15,Tuesday,
C19036220,09/20/2019 08:25:00 PM,Traffic,406,2800 Block SE AUBURN BLACK DIAMOND RD,AUBURN,WA,98092,10/21/2019 07:26:00 PM,10/21/2019 09:22:00 PM,20,Friday,POINT (-122.19492699999999 47.301335)
C18054714,12/21/2018 04:07:00 PM,Other,165,7400 Block S 115TH ST,SEATTLE,WA,98178,01/17/2019 07:46:00 PM,02/21/2019 01:45:00 AM,16,Friday,POINT (-122.24076800000002 47.499639)
C19016965,05/02/2019 12:00:00 PM,Theft from Vehicle,312,9800 Block 18TH AVE SW,SEATTLE,WA,98106,05/04/2019 12:47:00 PM,05/24/2019 10:20:00 AM,12,Thursday,POINT (-122.35783099999999 47.514614)
C19029785,07/22/2019 02:36:00 PM,Property Crime,189,42900 Block AUBURN ENUMCLAW RD SE,ENUMCLAW,WA,98022,08/06/2019 08:25:00 PM,08/06/2019 11:12:00 PM,14,Monday,POINT (-122.088339 47.216496)
